Format,Score,Evaluation
active,0.78,Strongly agree
active,0.47,Strongly agree
active,0.65,Neither agree nor disagree
active,0.62,Agree
active,0.73,Agree
active,0.9,Agree
active,0.78,Neither agree nor disagree
active,0.71,Disagree
active,0.73,Strongly agree
active,0.68,Strongly agree
active,0.71,Strongly agree
active,0.91,Strongly agree
active,0.77,Strongly agree
active,0.67,Disagree
active,0.76,Strongly disagree
active,0.86,Neither agree nor disagree
active,0.82,Strongly agree
active,0.78,Agree
active,0.74,Neither agree nor disagree
active,0.79,Neither agree nor disagree
active,0.86,Agree
active,0.65,Agree
active,0.47,Strongly agree
active,0.73,Strongly disagree
active,0.74,Strongly agree
active,0.87,Strongly agree
active,0.81,Strongly agree
active,0.84,Neither agree nor disagree
active,0.66,Disagree
active,0.83,Strongly agree
active,0.83,Agree
active,0.65,Agree
active,0.92,Strongly agree
active,0.82,Agree
active,0.73,Strongly agree
active,0.78,Agree
active,0.55,Agree
active,0.87,Disagree
active,0.71,Disagree
active,0.97,Disagree
active,0.68,Neither agree nor disagree
active,0.84,Strongly agree
active,0.74,Strongly agree
active,0.74,Strongly agree
active,0.57,Strongly agree
active,0.75,Disagree
active,0.84,Strongly agree
active,0.64,Strongly agree
active,0.61,Agree
active,0.5,Strongly agree
active,0.86,Strongly agree
active,0.78,Agree
active,0.58,Agree
active,0.61,Strongly agree
active,0.51,Neither agree nor disagree
active,0.67,Disagree
active,0.85,Strongly agree
active,0.46,Strongly agree
active,0.85,Neither agree nor disagree
active,0.7,Neither agree nor disagree
active,0.78,Strongly agree
active,0.71,Strongly agree
active,0.67,Agree
active,0.75,Strongly agree
active,0.88,Disagree
active,0.73,Strongly agree
active,0.78,Strongly agree
active,0.72,Neither agree nor disagree
active,0.9,Agree
active,0.75,Strongly agree
active,0.73,Agree
active,0.85,Agree
active,0.75,Agree
active,0.91,Strongly agree
active,0.91,Strongly agree
active,0.64,Agree
active,0.79,Strongly agree
active,0.88,Agree
active,0.93,Agree
active,0.79,Neither agree nor disagree
passive,0.78,Strongly disagree
passive,0.78,Strongly agree
passive,0.66,Strongly agree
passive,0.73,Strongly agree
passive,0.66,Strongly agree
passive,0.64,Strongly agree
passive,0.62,Strongly agree
passive,0.73,Strongly disagree
passive,0.57,Disagree
passive,0.61,Strongly agree
passive,0.77,Neither agree nor disagree
passive,0.6,Strongly agree
passive,0.55,Agree
passive,0.71,Strongly agree
passive,0.65,Neither agree nor disagree
passive,0.77,Agree
passive,0.53,Strongly disagree
passive,0.72,Agree
passive,0.74,Strongly agree
passive,0.58,Neither agree nor disagree
passive,0.45,Strongly agree
passive,0.68,Strongly agree
passive,0.58,Agree
passive,0.82,Strongly agree
passive,0.6,Strongly agree
passive,0.62,Neither agree nor disagree
passive,0.65,Strongly agree
passive,0.6,Agree
passive,0.61,Agree
passive,0.46,Strongly agree
passive,0.63,Strongly agree
passive,0.72,Strongly agree
passive,0.3,Strongly agree
passive,0.77,Strongly agree
passive,0.85,Strongly agree
passive,0.77,Agree
passive,0.53,Agree
passive,0.76,Strongly agree
passive,0.66,Strongly agree
passive,0.61,Neither agree nor disagree
passive,0.58,Strongly agree
passive,0.75,Strongly agree
passive,0.59,Strongly agree
passive,0.8,Strongly agree
passive,0.78,Strongly agree
passive,0.61,Agree
passive,0.53,Strongly agree
passive,0.76,Strongly agree
passive,0.7,Strongly agree
passive,0.72,Strongly agree
passive,0.58,Strongly agree
passive,0.63,Strongly agree
passive,0.69,Strongly agree
passive,0.58,Strongly agree
passive,0.63,Strongly agree
passive,0.71,Strongly agree
passive,0.8,Strongly agree
passive,0.59,Neither agree nor disagree
passive,0.65,Strongly agree
passive,0.54,Agree
passive,0.62,Strongly agree
passive,0.66,Neither agree nor disagree
passive,0.7,Strongly agree
passive,0.56,Strongly agree
passive,0.57,Agree
passive,0.64,Strongly agree
passive,0.54,Agree
passive,0.65,Strongly agree
passive,0.89,Agree
passive,0.65,Agree
passive,0.8,Strongly agree
passive,0.78,Strongly agree
passive,0.89,Strongly agree
passive,0.79,Strongly agree
passive,0.61,Agree
passive,0.67,Agree
passive,0.75,Strongly agree
